Image; Model; Series; Yen Price; Release Date; Notes;Type
Srwhotnews pla8 hgucfa787box.jpg;FA-78-3 Full Armor Gundam 7th;Mobile Suit Gundam: Battlefield Record U.C. 0081;¥1,500;2009 August;First HGUC Gundam to use the universal hip joint assembly derived from the High Grade Gundam 00 line instead of the conventional ball joint assembly. , ;HGUC
099.jpg;NZ-666 Kshatriya ;Mobile Suit Gundam Unicorn;¥4,500;2009 October;First kit to use the current format of the MS name on the bottom of the box cover and the series logos on the front and sides of the box., ;HGUC
100.jpg;RX-0 Unicorn Gundam (Destroy Mode);Mobile Suit Gundam Unicorn;¥1,800;2009 November;100th HGUC release. Includes Beam Magnum., ;HGUC
RX-0 Unicorn Gundam HG.jpg;RX-0 Unicorn Gundam (Unicorn Mode);Mobile Suit Gundam Unicorn;¥1,500;2009 November;Uses the A plate runner of HGUC-100. Includes Hyper Bazooka, beam saber effect parts, and a pair of open hands., ;HGUC
Geara zulu mp.jpg;AMS-129 Geara Zulu;Mobile Suit Gundam Unicorn;¥1,800;2009 December;N/A, ;HGUC
HGUC-ReZEL.jpg;RGZ-95 ReZEL;Mobile Suit Gundam Unicorn;¥2,000;2010 January;Transforms via parts-swapping., ;HGUC
Stark-jegan-hguc.jpg;RGM-89S Stark Jegan;Mobile Suit Gundam Unicorn;¥2,000;2010 February;Parts and color variant of HGUC-097., ;HGUC
10106697.jpg;MS-06F2 Zaku II F2 (Zeon Version);Mobile Suit Gundam 0083: Stardust Memory;¥1,500;2010 February;First HG Zaku II kit to incorporate HGUC-091's monoeye switch gimmick. Includes two leg-mounted missile pods and optional commander and Applique Armor type heads., ;HGUC
BAN620491.jpg;D-50C Loto (Twin Set);Mobile Suit Gundam Unicorn;¥1,600;2010 March;First HGUC kit to be released as two individual MS units., ;HGUC
Hguc-ms-06f2-efsf.jpg;MS-06F2 Zaku II F2 (E.F.S.F Version);Mobile Suit Gundam 0083: Stardust Memory;¥1,500;2010 March;Color variant of HGUC-105., ;HGUC
Rgz-95c-hguc.jpg;RGZ-95C ReZEL Commander Type;Mobile Suit Gundam Unicorn;¥2,200;2010 March;Parts and color variant of HGUC-103. Transforms via parts-swapping. Released to coincide with Day of the Unicorn, episode 1 of the OVA. ;HGUC
10111319.jpg;GX-9900 Gundam X;After War Gundam X;¥1,800;2010 April;First kit to be released from the After War timeline (HGAW)., ;HGUC
Hgfc-g-gundam.jpg;GF13-017NJII '''''G''''' Gundam;Mobile Fighter G Gundam;¥1,800;2010 May;"First kit to be released from the Future Century timeline (HGFC). Includes transformable Core Lander and clear orange ""God Finger"" hands., ";HGUC
HG MSZ-010 ZZ Gundam Boxart.jpg;MSZ-010 ZZ Gundam;Mobile Suit Gundam ZZ;¥2,300;2010 June;Transforms via parts-swapping. Includes non-transformable FXA-07GB Neo Core Fighter and Action Base adapter for G-Fortress mode that doubles as a spare parts holder., ;HGUC
Gd hguc geara zulu angelo a.jpg;AMS-129 Geara Zulu (Angelo Sauper Use);Mobile Suit Gundam Unicorn;¥2,200;2010 July;Parts and color variant of HGUC-102., ;HGUC
Hguc-rgm-79c.jpg;RGM-79C GM Type C ;Mobile Suit Gundam 0083: Stardust Memory;¥1,200;2010 August;Uses the C and D plate runners of HGUC-067. Introduces the HG MP-1 E plate runner, which consists of hand parts for later GM and MSA-003 Nemo kits. Includes adapter for Action Base 1., ;HGUC
Hguc-ball.jpg;RB-79 Ball Twin Set;Mobile Suit Gundam;¥1,300;2010 September;Includes two display bases for each Ball., ;HGUC
Delta-plus-hguc.jpg;MSN-001A1 Delta Plus;Mobile Suit Gundam Unicorn;¥2,200;2010 September;Transforms via parts-swapping., ;HGUC
HGUC-Sinanju.jpg;MSN-06S Sinanju;Mobile Suit Gundam Unicorn;¥2,600;2010 October;Released to coincide with The Second Coming of Char, episode 2 of the OVA. ;HGUC
HG - GF13-050NSW Nobel Gundam - Boxart.jpg;GF13-050NSW Nobell Gundam;Mobile Fighter G Gundam;¥1,500;2011 January;Uses no polycaps. Includes Beam Ribbons with bottom weights, a clear white BA-1 display base with adapter, and hands for HGFC-110 to replicate a scene from Beautiful Fighter! Dangerous Allenby, episode 30 of the series. ;HGUC
Rgm-79n-hguc.jpg;RGM-79N GM Custom;Mobile Suit Gundam 0083: Stardust Memory;¥1,300;2011 January;Uses the D plate runner of HGUC-067 and the MP-1 E plate runner of HGUC-113., ;HGUC
HG - Extreme Gundam - Boxart.jpg;Extreme Gundam;Mobile Suit Gundam: Extreme Vs.;¥1,600;2011 February;First Gundam not to be part of any official timeline. Also the first HG kit to feature non-functional beam saber handles since HGUC-038. , ;HGUC
Geara zulu guard.jpg;AMS-129 Geara Zulu (Guards Type);Mobile Suit Gundam Unicorn;¥2,000;2011 March;Parts and color variant of HGUC-112. Released to coincide with The Ghost of Laplace, episode 3 of the OVA. ;HGUC
Jegan ecoas.jpg;RGM-89De Jegan (ECOAS Type);Mobile Suit Gundam Unicorn;¥1,600;2011 April;Parts and color variant of HGUC-097. First kit to use runner as storage for unused hand parts., ;HGUC
Hguc dreissen boxart.jpg;AMX-009 Dreissen (Unicorn Ver.);Mobile Suit Gundam Unicorn;¥2,000;2011 May;Uses runner as storage for unused hand parts. Compatible with effect parts from HGUC-083., ;HGUC
Hguc gm cannon boxart.jpg;RGC-83 GM Cannon II;Mobile Suit Gundam 0083: Stardust Memory;¥1,400;2011 June;Uses the B plate runner of HGUC-120, the D plate runner of HGUC-067, and the MP-1 E plate runner of HGUC-113. Uses piece of C plate runner as storage for unused hand parts., ;HGUC
Rgm-86r gm 3 boxart.jpg;RGM-86R GM III;Mobile Suit Gundam ZZ;¥1,500;2011 July;Based on Hajime Katoki's redesign for ''Mobile Suit Gundam Unicorn''. Includes marking sheet with E.F.S.F., A.E.U.G., and Londo Bell markings., ;HGUC
Hgfc shining gundam boxart.jpg;GF13-017NJ Shining Gundam;Mobile Fighter G Gundam;¥1,500;2011 August;" Includes transformable Core Lander, ""Super Mode"" head, and clear green ""Shining Finger"" hands, ""Giant Hand"" and ""Shining Finger Sword"" effect parts., ";HGUC
Hgfc master gundam boxart.jpg;GF13-001NHII Master Gundam & Fuunsaiki;Mobile Fighter G Gundam;¥2,400;2011 August;"Includes clear red ""Master Cloth"", ""Darknes Finger"" hands, and ""Giant Hand"" effect parts and display base for Fuunsaiki, plus a clear pink Master Asia figurine. Transforms into Normal Mode via parts-swapping., ";HGUC
Hgfc-nobel-1.jpg;GF13-050NSW Nobell Gundam Berserker Mode;Mobile Fighter G Gundam;¥1,500;2011 September;"Red gloss-injected variant of HGFC-119. Features new ""hair"" piece and Beam Ribbons have been replaced with beam sword effect parts., ";HGUC
Hguc-jesta-11.jpg;RGM-96X Jesta;Mobile Suit Gundam Unicorn;¥1,600;2011 September;Uses runner as storage for unused hand parts., ;HGUC
Hguc-gm-ii.jpg;RMS-179 GM II;Mobile Suit Zeta Gundam;¥1,400;2011 October;Uses a color variant of the A and B plate runners of HGUC-126. Includes marking sheet with E.F.S.F., Titans, and A.E.U.G. markings., ;HGUC
Hguc-ams-129m.jpg;AMS-129M Zee Zulu;Mobile Suit Gundam Unicorn;¥1,400;2011 November;Parts and color variant of HGUC-102. Released to coincide with At the Bottom of the Gravity Well, episode 4 of the OVA. ;HGUC
Hguc83-dra-c.jpg;MS-21C Dra-C;Mobile Suit Gundam 0083: Stardust Memory;¥2,000;2011 November;Includes beam gatling gun from ''Mobile Suit Gundam Unicorn'' and a clear display base., ;HGUC
Rx-hguc2.jpg;RX-0 Unicorn Gundam 02 Banshee (Destroy Mode);Mobile Suit Gundam Unicorn;¥1,800;2012 January;Color variant of HGUC-100 with additional F and G plate runners., ;HGUC
Rx-0hguc1.jpg;RX-0 Unicorn Gundam 02 Banshee (Unicorn Mode);Mobile Suit Gundam Unicorn;¥1,600;2012 January;Color variant of HGUC-101 with additional F and G plate runners., ;HGUC
hguc delta gundam box.jpg;MSN-001 Delta Gundam;Mobile Suit Gundam Unicorn MSV;¥4,200;2012 March;Parts and gold chrome plated variant of HGUC-115. First gold plated release since HGUC-005. First release from Unicorn MSV. Transforms via parts-swapping., ;HGUC
Hguc zaku 1 sniper type yonem kirks custom boxart.jpg;MS-05L Zaku I Sniper Type (Yonem Kirks Custom);Mobile Suit Gundam Unicorn;¥1,600;2012 March;Color variant of HGUC-071 with new head, left shoulder armor, and backpack parts. Some parts require cementing., ;HGUC
Hguc marasia unicorn ver.jpg;RMS-108 Marasai (Unicorn Ver.);Mobile Suit Gundam Unicorn;¥1,600;2012 March;Color variant of HGUC-052. Includes Fedayeen Rifle and Sea Serpent., ;HGUC
Hguc juaggu boxart.jpg;MSM-04G Juaggu (Unicorn Ver.);Mobile Suit Gundam Unicorn;¥1,700;2012 March;N/A;HGUC
Hguc nemo unicorn boxart.jpg;MSA-003 Nemo (Unicorn Ver.);Mobile Suit Gundam Unicorn;¥1,500;2012 April;Uses the MP-1 E plate runner of HGUC-113. Includes GM Custom Rifle., ;HGUC
Hguc-ankusha.jpg;RAS-96 Anksha;Mobile Suit Gundam Unicorn;¥2,600;2012 May;Released to coincide with Black Unicorn, episode 5 of the OVA. Transforms via minor parts-swapping. Includes BA-1 display base with MA mode adapter plus handles and support peg to accommodate most 1/144 scale MS kits in MA mode. ;HGUC
12865RZGR.jpg;RGZ-95C ReZEL Type C [Defenser B-Unit] [GR];Mobile Suit Gundam Unicorn;¥2,200;2012 June;Parts and color variant of HGUC-103. Transforms via parts-swapping., ;HGUC
Zalu mariner boxart.jpg;RMS-192M Zaku Mariner;Mobile Suit Gundam ZZ;¥1,400;2012 July;Molded in ''Gundam Unicorn'' colors, despite being marketed as a ''Gundam ZZ'' kit. Includes two different antennas, two different chest pieces, and two different pairs of front leg pieces., ;HGUC
Base Jabber (Unicorn Ver.).jpg;Base Jabber (Unicorn Ver.);Mobile Suit Gundam Unicorn;¥1,000;2012 July;Support unit for HGUC-130 and most 1/144 scale kits. Holds up to two MS kits with the removal of the propellant tanks., ;HGUC
High Grade Hambrabi.jpg;RX-139 Hambrabi;Mobile Suit Zeta Gundam;¥1,700;2012 August;Fully transformable kit. Shares Fedayeen Rifle runner with HGUC-138., ;HGUC
Rgm-79sp gm sniper-ii hguc.jpg;RGM-79SP GM Sniper II;Mobile Suit Gundam 0080: War in the Pocket;¥1,500;2012 September;Includes an RH-35E Riah 35 Draken-E with two different arm configurations., ;HGUC
Hguc byarlant custom boxart.jpg;RX-160S Byarlant Custom;Mobile Suit Gundam Unicorn;¥2,600;2012 November;Includes adapter for Action Base 1 and marking sheet with labels for HGUC-140., ;HGUC
HGUC DELTA KAI.jpg;MSN-001X Gundam Delta Kai;Mobile Suit Gundam Unicorn MSV;¥2,600;2012 December;Parts and color variant of HGUC-115. Transforms via parts-swapping., ;HGUC
12311.jpg;YAMS-132 Rozen Zulu;Mobile Suit Gundam Unicorn;¥2,800;2012 December;Includes clear display stands for relay INCOM hands and Psycho Jammers., ;HGUC
HGUC MS-06R-1A Zaku II High Mobility Type - Box Art.jpg;MS-06R-1A Zaku II (Black Tri-Stars Custom);Mobile Suit Variations;¥1,600;2013 February;N/A;HGUC
HGUC - RGM-96X Jesta Cannon.jpg;RGM-96X Jesta Cannon;Mobile Suit Gundam Unicorn;¥2,000;2013 February;Parts variant of HGUC-130., ;HGUC
Unicorn Gundam 02 Banshee Norn (Unicorn Mode).jpg;RX-0[N] Unicorn Gundam 02 Banshee Norn (Unicorn Mode);Mobile Suit Gundam Unicorn;¥1,700;2013 March;Parts variant of HGUC-135. Includes articulated Armed Armor VN for HGUC-134. Released to coincide with Two Worlds, Two Tomorrows, episode 6 of the OVA. Hyper Beam Javelin available with ''Mobile Suit Gundam Unicorn - Bande Dessinee'' Vol. 14. ;HGUC
HGUC MS-06R1A - Matsunaga Custom.jpg;MS-06R-1A Zaku II (Shin Matsunaga Custom);Mobile Suit Variations;¥1,600;2013 March;Parts and color variant of HGUC-151., ;HGUC
811moZTY8KL. AA1500 .jpg;RX-79(G)Ez-8 Gundam Ez8;Mobile Suit Gundam: The 08th MS Team;¥1,600;2013 April;Includes parachute pack. Compatible with the Weapon Rack of HGUC-079., ;HGUC
HG Full Armor Unicorn Unicorn Mode Boxart.jpg;RX-0 Full Armor Unicorn Gundam (Unicorn Mode);Mobile Suit Gundam Unicorn;¥3,000;2013 May;Re-release of HGUC-101 with Full Armor parts. Includes stands for rocket boosters., ;HGUC
HGUC-Messala - box art.jpg;PMX-000 Messala;Mobile Suit Zeta Gundam;¥3,000;2013 June;Fully transformable kit with some parts-swapping. Includes light grey Action Base 2 with custom platform. ;HGUC
HGUC- Base Jabber 89 - box art.jpg;Type89 Base Jabber;Mobile Suit Gundam Unicorn;¥1,200;2013 June;Includes adapters to mount two 1/144 scale mobile suits and different mounting points for Action Base., ;HGUC
HGUC Box - Gerbera Tetra.jpg;AGX-04 Gerbera Tetra;Mobile Suit Gundam 0083: Stardust Memory;¥1,800;2013 July;Includes optional Stürm Booster., ;HGUC
HGUC Döven Wolf - Box Art.jpg;AMX-014 Döven Wolf (Unicorn Ver.);Mobile Suit Gundam Unicorn MSV;¥2,200;2013 August;Includes swappable hidden arms, wires and support stands for the Beam Hands., ;HGUC
HGUC-Zogok-Box Art.jpg;MSM-08 Zogok (Unicorn Ver.);Mobile Suit Gundam Unicorn;¥1,700;2013 September;N/A;HGUC
130px-HGUC-Gundam-Wing-Box Art.jpg;XXXG-01W Wing Gundam;Mobile Suit Gundam Wing;¥1,500;2013 September;Part of the HG All Gundam Project and the first kit to be released from the After Colony timeline. Fully transformable kit., ;HGUC
hguc 163.jpg;GX-9901-DX Gundam Double X;After War Gundam X;¥1,700;2013 October;N/A;HGUC
hguc_164.jpg;MSA-003 Nemo (Unicorn Desert Color Ver.);Mobile Suit Gundam Unicorn;¥1,500;2013 November;Color variant of HGUC-140. Includes extra marking sheet and both rifles of HGUC-140 and HGUC-150., ;HGUC
hguc_165.jpg;LM312V04 Victory Gundam;Mobile Suit Victory Gundam;¥1,200;2013 November;First kit to be released from the Late Universal Century timeline. Not transformable unlike its 1/100 scale HG or MG counterparts. Includes non-transformable Core Fighter., ;HGUC
hguc_ZakuII_Johnny_Rider.jpg;MS-06R-2 Johnny Ridden's Zaku II;Mobile Suit Variations;¥1,800;2013 November;Parts and color variant of HGUC-151., ;HGUC
BANM131236.jpg;F91 Gundam F91;Mobile Suit Gundam F91;¥1,200;2013 December;Includes extra face plate and shoulder fins to replicate the M.E.P.E. Mode., ;HGUC
F91MassProduce.jpg;Harrison Madin's Gundam F91;Mobile Suit Crossbone Gundam;¥1,200;2014 January;Color variant of HGUC-167. Includes duplicate C plate runner for color accuracy., ;HGUC
hguc_169.jpg;LM314V21 Victory Two Gundam;Mobile Suit Victory Gundam;¥1,300;2014 January;Not transformable unlike its 1/100 scale HG/MG or 1/60 HG-EX counterparts. Includes non-transformable Core Fighter., ;HGUC
Hguc-arx-014-silver-bullet-pa.jpg;ARX-014 Silver Bullet;Mobile Suit Gundam Unicorn - Bande Dessinee;¥2,200;2014 February;Parts and color variant of HGUC-160. Includes Gundam and GM-type faces., ;HGUC
hguc_173.jpg;AMX-014 Döven Wolf;Mobile Suit Gundam ZZ;¥2,400;2014 February;Color variant of HGUC-160., ;HGUC
HG Wing Zero Boxart.jpg;XXXG-00W0 Wing Gundam Zero;Mobile Suit Gundam Wing;¥1,700;2014 March;Fully transformable kit with some parts-swapping., ;HGUC
HG Aile Strike Rouge Boxart.jpg;MBF-02+AQM/E-X01 Strike Rouge;Mobile Suit Gundam SEED;¥1,500;2014 March;Color variant of HGCE-171. Compatible with the IWSP Striker Pack of HGSEED-MSV01 and other Striker Packs from the HGSEED and No-Grade 1/144 kits. ;HGUC
HG Turn A Boxart.jpg;WD-M01 ∀ Gundam;∀ Gundam;¥1,500;2014 April;First kit to be released from the Correct Century timeline (HGCC). Includes non-transformable Core Fighter.;HGUC
HG Full Armor Unicorn Destroy Mode Boxart.jpg;RX-0 Full Armor Unicorn Gundam (Destroy Mode);Mobile Suit Gundam Unicorn;¥3,200;2014 April;Parts and color variant of HGUC-100 and HGUC-156. Includes stands for the shields and rocket boosters. Hyper Beam Javelin sold separately with ''Gundam UC Ace'' Vol. 6. , ;HGUC
HG Kshatriya Repaired Boxart.jpg;NZ-666 Kshatriya Repaired;Mobile Suit Gundam Unicorn;¥6,500;2014 May;Parts variant of HGUC-099. Released to coincide with Over the Rainbow, episode 7 of the OVA. ;HGUC
HG Zssa Unicorn ver. Boxart.jpg;AMX-102 Zssa (Unicorn Ver.);Mobile Suit Gundam Unicorn;¥2,400;2014 June;N/A;HGUC
HGUC_Z_Plus_-Unicorn_Ver.-.jpg;MSZ-006A1 Zeta plus (Unicorn Ver.);Mobile Suit Gundam Unicorn;¥2,400;2014 July;Transforms via parts-swapping. Includes optional marking sheet. First release had mold issues reported on pieces B4 (head) and B31 (front waist armor) and incorrect artwork on the box cover. Later releases had these issues corrected. ;HGUC
hguc183.jpg;AMX-101E Schuzrum-Galluss;Mobile Suit Gundam Unicorn;¥2,400;2014 July;Spike Shields transform via parts-swapping., ;HGUC
hguc185.jpg;YAMS-132 Rozen Zulu (Episode 7 Ver.);Mobile Suit Gundam Unicorn;¥1,700;2014 August;Color variant of HGUC-149 with additional parts., ;HGUC
HGUC_Z_II.jpg;MSZ-008 ZII;Zeta Gundam Mobile Suit Variations;¥2,400;2014 September;Transforms via parts-swapping. Includes Action Base 1 & 2 adapter for Wave Rider mode., ;HGUC
hguc_crossbone_x1.jpg;XM-X1 Crossbone Gundam X-1;Mobile Suit Crossbone Gundam;¥1,800;2014 November;Parts and color variant of HGBF-014. Includes non-transformable Core Fighter., ;HGUC
HGUC V-Dash Gundam.jpg;LM312V04+SD-VB03A V-Dash Gundam;Mobile Suit Victory Gundam;¥1,800;2015 March;Re-release of HGUC-165 with SD-VB03A Overhang pack. Includes non-transformable Core Booster and optional head to create the LM312V06 Victory Gundam Hexa., ;HGUC
HGUC Victory Two Assault Buster Gundam.jpg;LM314V23/24 Victory Two Assault-Buster Gundam;Mobile Suit Victory Gundam;¥2,000;2015 May;Re-release of of HGUC-169 with LM314V24 Victory 2 Assault and LM314V23 Victory 2 Buster packs. Beam effect parts not included. ;HGUC
HGUC Guncannon.jpg;RX-77-2 Guncannon (Revive Ver.);Mobile Suit Gundam;¥1,000;2015 June;"First mobile suit featured in the ""Revive"" line. Newly molded version of HGUC-001 with better articulation and improved proportions. Includes marking sheet for Units 108 (Kai Shiden), 109 (Hayato Kobayashi), and 203 (from ''Mobile Suit Gundam Battlefield Record: Avant-Title'')., ";HGUC
HGUC Gundam.jpg;RX-78-2 Gundam (Revive Ver.);Mobile Suit Gundam;¥1,000;2015 July;Newly molded version of HGUC-021 with better articulation and improved proportions. Released to coincide with the 35th anniversary of Gunpla. Beam Javelin and Gundam Hammer sets were sold separately with ''Gundam ACE''., ;HGUC
HG Freedom Gundam Boxart.jpg;ZGMF-X10A Freedom Gundam (Revive Ver.);Mobile Suit Gundam SEED;¥1,700;2015 August;Newly molded version of HGSEED-07 with better articulation and improved proportions. A custom kit with a new head sculpt and additional weapons is sold exclusively with the October 2015 issue of ''Hobby Japan''., ;HGUC
HGUC Gundam Mk-II.jpg;RX-178 Gundam Mk-II [A.E.U.G.] (Revive Ver.);Mobile Suit Zeta Gundam;¥1,500;2015 November;Newly molded version of HGUC-035/HGUC-053 with better articulation and improved proportions. Released to coincide with the 30th anniversary of ''Mobile Suit Zeta Gundam''., ;HGUC
HGUC Qubeley Revive.jpg;AMX-004 Qubeley (Revive Ver.);Mobile Suit Zeta Gundam;¥1,800;2015 December;Newly molded version of HGUC-004 with better articulation and improved proportions., ;HGUC
HGUC-Gyan-Revive.jpg;YMS-15 Gyan (Revive Ver.);Mobile Suit Gundam;¥1,200;2016 May;Newly molded version of HGUC-002 with better articulation and improved proportions., ;HGUC
HGUC-FullArmorUnicornGundam-DestroyRed.png;RX-0 Full Armor Unicorn Gundam (Destroy Mode/Red Color Ver.);Mobile Suit Gundam Unicorn RE:0096;¥3,500;2016 June;Re-release of HGUC-100 with Full Armor parts from HGUC-178. Includes Hyper Beam Javelin and additional marking sheet., ;HGUC
HGUC-HyakuShiki-Revive.jpg;MSN-00100 Hyaku Shiki (Revive Ver.);Mobile Suit Zeta Gundam;¥1,800;2016 August;"200th HGUC release. Newly molded version of HGUC-005 with better articulation and improved proportions. Not chrome plated unlike its predecessor. Includes marking sheet with four ""百"" markings. ";HGUC
HGCE Strike Freedom Gundam Revive.jpg;ZGMF-X20A Strike Freedom Gundam (Revive Ver.);Mobile Suit Gundam SEED Destiny;¥2,000;2016 November;Newly molded version of HGSEED-34 with better articulation and improved proportions. First HGUC kit to have bilingual Japanese/English text on its box packaging and instruction manual., ;HGUC
HGUC-GMGroundType.jpg;RGM-79[G] GM Ground Type;Mobile Suit Gundam: The 08th MS Team;¥1,500;2017 January;Includes rocket launcher and net gun., ;HGUC
Hguc-zeta-gundam-gunpla-evolution-project-2017_(1).jpg;MSZ-006 Zeta Gundam [Gunpla Evolution Project];Mobile Suit Zeta Gundam;¥1,800;2017 April;"Newly molded version of HGUC-041 with better articulation and improved proportions. Transforms via parts-swapping. Includes grenade launchers, Hyper Mega Launcher with landing gear, and Action Base 2 adapter for Wave Rider mode. Shield features missile pod as seen in the ''Zeta Gundam'' compilation films. Can accommodate HGUC-040's head to make the Zeta Zaku from Leina Vanishes, episode 12 of ''Gundam ZZ''. First release in Bandai's ""Gunpla Evolution Project"" to prepare for the 40th anniversary of Gunpla in 2020.";HGUC
HGUC-Barzam.jpg;RMS-154 Barzam;Mobile Suit Zeta Gundam;¥1,600;2017 May;Compatible with HGUC-193/194's backpack., ;HGUC
HGUC Gundam AN-01 Tristan.jpg;"RX-78AN-01 Gundam AN-01 ""Tristan""";Mobile Suit Gundam Twilight Axis;¥1,600;2017 June;Uses the A plate runner of HGUC-047., ;HGUC
HGUC-Efreet-Schneid.jpg;MS-08TX/S Efreet Schneid;Mobile Suit Gundam Unicorn;¥1,800;2017 July;N/A;HGUC
HGUC Blue Destiny Unit 1 Exam.jpg;"RX-79BD-1 Blue Destiny Unit 1 ""EXAM""";Mobile Suit Gundam Side Story: The Blue Destiny;¥1,600;2017 August;Newly molded version of HGUC-080 with better articulation and improved proportions. Transforms to EXAM Mode with parts-swapping on backpack. Uses the C1 and C2 plate runners of HGUC-202. Includes head parts to build either the game version or the manga version., ;HGUC
HGUC Gundam Ground Type.jpg;RX-79[G] Gundam Ground Type;Mobile Suit Gundam: The 08th MS Team;¥1,600;2018 April;Newly molded version of HGUC-079 with better articulation and improved proportions. Uses the C plate runner of HGUC-079 and the C1 and C2 plate runners of HGUC-202., ;HGUC
HGAC Leo.jpg;OZ-06MS Leo;Mobile Suit Gundam Wing;¥1,000;2018 May;Released as part of the Gunpla Evolution Project., ;HGUC
HGUC Galbaldy ß.jpg;RMS-117 Galbaldy ß;Mobile Suit Zeta Gundam;¥1,500;2018 June;N/A;HGUC
HGUC Unicorn Gundam 03 Phenex (Destroy Mode) (Narrative Ver.).jpg;RX-0 Unicorn Gundam 03 Phenex (Destroy Mode) (Narrative Ver.);Mobile Suit Gundam Narrative;¥2,800;2018 June;"Re-release of the Gundam Front Tokyo exclusive HGUC RX-0 Unicorn Gundam 03 Phenex (Destroy Mode) Ver.GFT with new tail stabilizers for Armed Armor DE units. Released as part of Bandai's ''""UC NexT 0100"" project''., ";HGUC
HGUC Byarlant.jpg;RX-160 Byarlant;Mobile Suit Zeta Gundam;¥2,600;2018 July;Parts and color variant of HGUC-147., ;HGUC
HGUC Moon Gundam.jpg;AMS-123X-X Moon Gundam;Mobile Suit Moon Gundam;¥3,000;2018 September;"Released as part of Bandai's ''""UC NexT 0100"" project''. Features the option to use green or clear eye/main camera parts. Includes clear black Action Base 5. Uses entirely polystyrene., ";HGUC
HGUC Unicorn Gundam 03 Phenex (Destroy Mode) (Narrative Ver.) -Gold_Coating-.jpg;RX-0 Unicorn Gundam 03 Phenex (Destroy Mode) (Narrative Ver.) [Gold Coating];Mobile Suit Gundam Narrative;¥5,000;2018 October;Gold chrome plated variant of HGUC-213., ;HGUC
HGUC Sinanju Stein (Narrative Ver.).jpg;MSN-06S-2 Sinanju Stein (Narrative Ver.);Mobile Suit Gundam Narrative;¥2,600;2018 October;Uses D plate runner of HGUC-116 and F plate runner of HGUC-181. Bazooka transforms via parts-swapping., ;HGUC
HG Narrative Gundam A-Packs.jpg;RX-9/A Narrative Gundam A-Packs;Mobile Suit Gundam Narrative;¥5,500;2018 November;Includes BA-2 display base and DBA-1 and DBA-2 clear stands to support the Large Beam Sabers., ;HGUC
HGUC Dijeh.jpg;MSK-008 Dijeh;Mobile Suit Zeta Gundam;¥1,900;2018 December;Uses C3 plate runner of HGUC-200 for beam rifle and clay bazooka. Includes two types of mono-eye rail unit: standard type and twin eye socket type., ;HGUC
HGUC R-Jarja.jpg;AMX-104 R-Jarja;Mobile Suit Gundam ZZ;¥1,900;2019 January;Parts and color variant of HGBF-024., ;HGUC
HGUC Gustav Karl (Unicorn Ver.).jpg;FD-03 Gustav Karl (Unicorn Ver.);Mobile Suit Gundam Unicorn;¥2,400;2019 February;N/A;HGUC
HGUC Narrative Gundam C-Packs.jpg;RX-9/C Narrative Gundam C-Packs;Mobile Suit Gundam Narrative;¥2,300;2019 March;Parts variant of HGUC-218., ;HGUC
HGAC Maganac.jpg;WMS-03 Maganac;Mobile Suit Gundam Wing;¥1,200;2019 April;N/A;HGUC
HGCE Destiny Gundam.jpg;ZGMF-X42S Destiny Gundam;Mobile Suit Gundam SEED Destiny;¥2,200;2019 May;"Newly molded version of HGSEED-36 with better articulation and improved proportions. The side skirt armor can swivel to avoid interference with the legs. Includes Wings of Light and effect part for ""Palma Fiocina"" palm beam cannon., ";HGUC
HGUC Silver Bullet Suppressor.jpg;ARX-014S Silver Bullet Suppressor;Mobile Suit Gundam Narrative;¥2,700;2019 June;Parts and color variant of HGUC-170. Uses the D plate runner of HGUC-100 for Beam Magnum., ;HGUC
HGUC Unicorn Gundam 03 Phenex (Unicorn Mode) (Narrative Ver.) -Gold Coating-.jpg;RX-0 Unicorn Gundam 03 Phenex (Unicorn Mode) (Narrative Ver.) [Gold Coating];Mobile Suit Gundam Narrative;¥5,000;2019 August;Re-release of the Gunpla Expo World Tour Japan 2016 Winter exclusive HGUC RX-0 Unicorn Gundam 03 Phenex (Unicorn Mode) Gold Coating Ver. with new tail stabilizers for Armed Armor DE units., ;HGUC
HGAC Gundam Sandrock.jpg;XXXG-01SR Gundam Sandrock;Mobile Suit Gundam Wing;¥1,500;2019 September;Includes clear red Heat Shotel blades., ;HGUC
HGUC Penelope.jpg;RX-104FF Penelope;Mobile Suit Gundam Hathaway;¥6,800;2019 October;FF (Fixed Flight) Unit can detach to reveal RX-104 Odysseus Gundam. Uses no polycaps. Includes BA2 display base, frame parts for FF Unit, optional chest vents, and swappable hip joints for both modes., ;HGUC
HGFC Death Army.jpg;JDG-009X (JDG-OOX) Death Army;Mobile Fighter G Gundam;¥1,200;2019 November;Features transformation gimmick with some parts-swapping. Released to coincide with the 25th anniversary of ''Mobile Fighter G Gundam''., ;HGUC
HG Gundam G40 Industrial Design Ver.jpg;Gundam G40 (Industrial Design Ver.);Mobile Suit Gundam G40;¥3,000;2019 December;First Gunpla release featuring original design. Uses no polycaps. Packaged in a special matte box with foil embossed logos. Features the option to use red or yellow eye stickers. Includes special booklet chronicling the development of the kit. Released as part of the Ken Okuyama x Gundam 40th Anniversary Project., ;HGUC
HGCE Windam.jpg;GAT-04 Windam;Mobile Suit Gundam SEED Destiny;¥1,400;2020 May;Includes Jet Striker to create GAT-04+AQM/E-A4E1 Jet Windam., ;HGUC
