Image; Model; Series; Yen Price; Release Date; Notes;Type
HGUC RX-121-1 Gundam TR-1 Hazel.jpg;RX-121-1 Gundam TR-1 [Hazel Custom];Advance of Zeta: The Flag of Titans;¥1,300;2005 September;First ever mobile suit to use double-jointed elbow parts previously used in Master Grade kits,  this became one of the basic gimmicks of later HGUC models. First release included ''Advance of Zeta Guide Book''. Later reissues had the D plate runner molded in KPS instead of ABS.;HGUC
AMS-119 Geara Doga.jpg;AMS-119 Geara Doga;Mobile Suit Gundam: Char's Counterattack;¥1,800;2008 November;First HG kit to use a switch under the head to rotate the monoeye,  this would later on become a standard feature in 1/144 scale Geara Zulu and most Zaku II kits. Features gunmetal colored joint and weapon parts. Includes optional commander type head.;HGUC
Hguc-rx-78-2.jpg;RX-78-2 “Gundam”;Mobile Suit Gundam;¥1,000;2001 May;The first HGUC Gundam to use clear colored beam saber effect parts,  this would not be standard on HGUC Gundams until 2005. Includes non-transformable FF-X7 Core Fighter.;HGUC
Gunpla_HGUC_GMSniperII-WD_box.jpg;RGM-79SP GM Sniper II (White Dingo Team Custom);Mobile Suit Gundam Side Story 0079: Rise From The Ashes;¥1,800;2012 September;P-Bandai exclusive color variant of HGUC-146 with new head parts,  uses the D plate runner of HGUC-077 and the F plate runner of HGHG-02. Includes Long Range Beam Rifle, Medium Shield, Vulcan Pod, 100 mm machine gun, M353A4 Bloodhound, two Federation soldier figurines, and extra marking sheet. Released under the sub-line High Grade U.C. Hard Graph.;HGUC
hguc181.jpg;NZ-999 Neo Zeong;Mobile Suit Gundam Unicorn;¥27,000;2014 June;Enhanced version of HGUC-116. Includes Rocket Bazooka, custom display base, and storage box. At a height of 86&nbspcm, it is one of the tallest HGUC kits ever made., ;HGUC
Hguc-ms-07b3.jpg;MS-07B-3 Gouf Custom;Mobile Suit Gundam: The 08th MS Team;¥1,600;2010 November;Uses the D1 plate runner of the original HG kit. ;HGUC
Hguc-rx77.jpg;"RX-77-2 ""Guncannon""";Mobile Suit Gundam;¥800;1999 May;The first HGUC kit ever released. Includes Spray Missiles., ;HGUC
Hguc-yms15.jpg;"YMS-15 ""Gyan""";Mobile Suit Gundam;¥800;1999 July;First 1/144 scale kit to use a detachable clear colored beam effect part for its beam saber., ;HGUC
Zaku III custom.jpg;"AMX-011S ""Zaku III Custom""";Mobile Suit Gundam ZZ;¥1,500;1999 August;N/A;HGUC
AMX-004 Qubeley HG.jpg;"AMX-004 ""Qubeley""";Mobile Suit Zeta Gundam;¥1,500;1999 September;N/A;HGUC
MSN-00100 Hyaku Shiki HG.jpg;"MSN-00100 ""Hyaku-Shiki""";Mobile Suit Zeta Gundam;¥1,500;1999 October;"First HGUC kit to use chrome plated parts. Parts runners use ""undergating"" arrangement, visually reducing the amount of nub marks during assembly. Includes dry transfer sheet with two ""百"" markings. ";HGUC
Hguc-msm-07.jpg;"MSM-07 ""Z'Gok""";Mobile Suit Gundam;¥700;1999 November;N/A;HGUC
Hguc-rx75-4.jpg;"RX-75 ""Guntank""";Mobile Suit Gundam;¥800;2000 January;First HGUC kit to not include stickers , ;HGUC
Hguc-msm-03.jpg;"MSM-03 ""Gogg""";Mobile Suit Gundam;¥800;2000 March;N/A;HGUC
Hguc-ms-07b.jpg;"MS-07B ""Gouf""";Mobile Suit Gundam;¥800;2000 April;N/A;HGUC
Hguc-rms-099.jpg;"RMS-099 ""Rick Dias""";Mobile Suit Zeta Gundam;¥1,200;2000 June;N/A;HGUC
Hguc-amx-004ii.jpg;"AMX-004-2 ""Qubeley Mk-II""";Mobile Suit Gundam ZZ;¥1,500;2000 June;Color variant of HGUC-004., ;HGUC
10011964.jpg;"RMS-106 ""Hi-Zack""";Mobile Suit Zeta Gundam;¥1,000;2000 July;"Later reissues of this kit have the pelvis piece B7 molded with a rectangular hole to accommodate an Action Base 2. Compatible with the ""Weapons for Mobile Suit"" kit of the 1985 ''Zeta Gundam'' Gunpla series. ";HGUC
Hguc-rx78gp01.jpg;"RX-78GP01 ""Gundam GP01""";Mobile Suit Gundam 0083: Stardust Memory;¥1,200;2000 August;First Gundam released in the HGUC line. Includes non-transformable FF-XII Core Fighter II and 90mm Machine Gun as seen in episodes Endless Pursuit and Into Battle, Albion! of the OVA. ;HGUC
Zaku III.jpg;"AMX-011 ""Zaku III""";Mobile Suit Gundam ZZ;¥1,500;2000 September;Parts and color variant of HGUC-003., ;HGUC
015.jpg;"AMX-107 ""Bawoo""";Mobile Suit Gundam ZZ;¥1,200;2000 September;First transformable/separable mobile suit in the HGUC line., ;HGUC
Gelgoog Marine.jpg;"MS-14F ""Gelgoog Marine""";Mobile Suit Gundam 0083: Stardust Memory;¥1,200;2000 October;N/A;HGUC
Dom tropen.jpg;"MS-09F ""Dom Tropen""";Mobile Suit Gundam 0083: Stardust Memory;¥1,500;2000 November;N/A;HGUC
Gundam GP01Fb.jpg;"RX-78GP01Fb ""Gundam GP01Fb""";Mobile Suit Gundam 0083: Stardust Memory;¥1,500;2000 December;Parts variant of HGUC-013. Includes non-transformable FF-XII-Fb Core Fighter II Full Burnern., ;HGUC
Z'Gok Char.jpg;"MSM-07S ""Z'Gok Commander Type"" (Char Aznable custom)";Mobile Suit Gundam;¥700;2001 February;Color variant of HGUC-006., ;HGUC
GM.jpeg;RGM-79 “GM”;Mobile Suit Gundam;¥700;2001 April;N/A;HGUC
Zeong.jpg;MSN-02 “Zeong”;Mobile Suit Gundam;¥1,800;2001 June;First HGUC model to include a display base. Fingers are compatible with MG beam saber effect parts., ;HGUC
